Store Number,AreaStore,Property,Type,Old/New,Checkout Number,Revenue
1,2100.0,,,,6.0,
2,1290.0,,,,5.0,416-07-01
3,500.0,,,,,592-08-01
4,2000.0,,,,9.0,
5,220.0,,,,2.0,345-03-01
6,1322.0,,,,6.0,
7,4000.0,,,,13.0,
8,500.0,,,,2.0,808-06-01
9,1000.0,,,,,744-09-01
10,2700.0,,,,4.0,
11,700.0,,,,,104-07-01
12,220.0,,,,2.0,452-02-01
13,4800.0,,,,,
14,432.0,,,,2.0,725-06-01
15,970.0,,,,3.0,
16,488.0,,,,2.0,634-03-01
17,1000.0,,,,3.0,692-05-01
18,397.0,,,,3.0,
19,1070.0,,,,4.0,
20,1620.0,,,,6.0,
21,400.0,,,,2.0,367-04-01
22,400.0,,,,3.0,463-09-01
23,340.0,,,,2.0,665-05-01
24,1360.0,,,,6.0,255-09-01
25,550.0,,,,2.0,
26,500.0,,,,3.0,
27,375.0,,,,5.0,478-03-01
28,430.0,,,,3.0,872-09-01
29,1577.0,,,,6.0,
30,620.0,,,,3.0,
31,3800.0,,,,,
32,3500.0,,,,11.0,
33,3000.0,,,,11.0,
34,922.76,,,,4.0,
35,1750.0,,,,9.0,
36,1400.0,,,,2.0,808-09-01
37,1100.0,,,,5.0,
38,1000.0,,,,,
39,1850.0,,,,6.0,
40,1200.0,,,,,
41,2600.0,,,,,
42,700.0,,,,4.0,
43,850.0,,,,3.0,546-06-01
44,5600.0,,,,14.0,
45,800.0,,,,4.0,
46,1800.0,,,,,
47,500.0,,,,3.0,380-05-01
48,1500.0,,,,,
49,1000.0,,,,6.0,
50,3000.0,,,,13.0,
51,450.0,,,,3.0,
52,2846.0,,,,8.0,
53,82.0,,,,2.0,1987-09-01
54,2300.0,,,,7.0,
55,880.0,,,,3.0,
56,3000.0,,,,8.0,
57,2400.0,,,,5.0,
58,500.0,,,,3.0,
59,940.0,,,,3.0,336-02-01
60,2337.0,,,,4.0,
61,2300.0,,,,10.0,
62,1008.0,,,,5.0,
63,1200.0,,,,4.0,
64,4180.0,,,,12.0,
65,600.0,,,,2.0,138-09-01
66,1950.0,,,,6.0,
67,2184.0,,,,6.0,
68,1650.0,,,,8.0,920-08-01
69,1200.0,,,,5.0,561-04-01
70,4500.0,,,,,
71,400.0,,,,2.0,
72,2000.0,,,,7.0,
73,1900.0,,,,3.0,996-04-01
74,700.0,,,,3.0,
75,2500.0,,,,8.0,
76,800.0,,,,4.0,
77,1620.0,,,,8.0,
78,1272.0,,,,5.0,
79,980.0,,,,3.0,2064-04-01
80,562.0,,,,3.0,
81,245.0,,,,1.0,300-03-01
82,1000.0,,,,7.0,
83,550.0,,,,3.0,999-08-01
84,2000.0,,,,6.0,
85,1530.0,,,,6.0,
86,2400.0,,,,10.0,
87,450.0,,,,3.0,2072-08-01
88,1000.0,,,,4.0,
89,500.0,,,,3.0,
90,742.0,,,,2.0,545-06-01
91,2085.0,,,,7.0,
92,1400.0,,,,4.0,
93,1925.0,,,,6.0,
94,1500.0,,,,7.0,
95,2000.0,,,,6.0,
96,406.0,,,,2.0,
97,600.0,,,,3.0,957-06-01
98,1600.0,,,,,2065-03-01
99,1100.0,,,,4.0,
100,890.0,,,,3.0,
101,314.0,,,,2.0,734-05-01
102,290.0,,,,2.0,415-02-01
103,500.0,,,,2.0,853-05-01
104,800.0,,,,3.0,
105,1600.0,,,,5.0,
106,650.0,,,,3.0,705-09-01
107,4500.0,,,,9.0,
108,420.0,,,,3.0,646-09-01
109,900.0,,,,4.0,
110,600.0,,,,4.0,
111,524.0,,,,2.0,
112,650.0,,,,3.0,
113,800.0,,,,5.0,552-07-01
114,1800.0,,,,9.0,
115,1700.0,,,,6.0,
116,500.0,,,,2.0,
117,200.0,,,,2.0,173-06-01
118,420.0,,,,3.0,
