ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,,,4,2,177,3,,,44,1233,1
2,,,4,5,216,2,,,59,3088,1
3,,,2,2,183,4,,,48,3374,1
4,,,3,3,176,4,,,10,1177,1
5,,,2,2,184,3,,,46,2484,1
6,,,3,1,162,3,,,12,1417,1
7,,,3,4,250,3,,,3,2371,1
8,,,4,1,233,2,,,48,2804,1
9,,,3,4,150,3,,,11,1861,1
10,,,3,2,164,3,,,29,1187,1
11,,,3,4,189,2,,,12,2888,1
12,,,4,5,232,3,,,32,3253,1
13,,,3,5,198,3,,,1,3667,1
14,,,4,4,275,3,,,29,2602,1
15,,,4,3,152,3,,,43,1009,1
16,,,4,3,227,3,,,45,2707,1
17,,,3,4,143,2,,,6,1194,1
18,,,5,5,227,3,,,36,3952,1
19,,,5,5,239,3,,,18,2495,1
20,,,4,5,145,3,,,45,1059,1
21,,,3,3,161,2,,,38,1521,1
22,,,3,1,232,4,,,51,2899,1
23,,,2,5,156,2,,,2,1750,1
24,,,4,3,211,3,,,12,3922,1
25,,,4,5,251,2,,,28,3561,1
26,,,3,1,225,4,,,29,3496,1
27,,,4,1,172,3,,,24,1066,1
28,,,5,1,162,3,,,31,1435,1
29,,,2,3,234,4,,,44,3134,1
30,,,5,4,183,2,,,36,3819,1
31,,,3,4,266,2,,,38,2741,1
32,,,5,3,257,2,,,61,3341,1
33,,,3,1,223,3,,,22,3795,1
34,,,4,2,234,3,,,4,3261,1
35,,,4,2,227,4,,,22,2460,1
36,,,5,4,149,3,,,44,1811,1
37,,,3,5,137,4,,,62,1477,1
38,,,2,4,181,6,,,16,3605,1
39,,,5,1,215,4,,,56,3905,1
40,,,4,2,269,5,,,45,2383,1
41,,,5,1,227,2,,,15,3798,1
42,,,5,5,139,4,,,61,1265,1
43,,,3,5,137,2,,,38,1647,1
44,,,3,1,174,2,,,44,1556,1
45,,,3,1,151,2,,,29,1328,1
46,,,5,1,210,3,,,9,2944,1
47,,,3,4,169,4,,,32,1245,1
48,,,5,1,160,2,,,32,1576,1
49,,,5,4,190,2,,,9,3753,1
50,,,5,3,216,3,,,40,2146,1
51,,,4,1,183,3,,,37,2042,1
52,,,4,4,141,3,,,22,1735,1
53,,,4,3,165,3,,,44,1320,1
54,,,2,1,170,3,,,41,1128,1
55,,,4,3,203,3,,,12,3539,1
56,,,2,5,246,5,,,46,2437,1
57,,,3,3,238,3,,,61,3096,1
58,,,3,3,193,3,,,29,3453,1
59,,,5,5,141,3,,,41,1367,1
60,,,4,1,150,3,,,17,1923,1
61,,,3,1,221,3,,,64,2794,1
62,,,3,3,179,3,,,52,1158,1
63,,,5,1,105,6,,,62,1292,1
64,,,3,1,177,3,,,61,1880,1
65,,,4,5,261,2,,,49,3045,1
66,,,3,2,202,3,,,49,2881,1
