,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
Version,266.0,98.36842105263158,16.124503179339705,89.0,89.0,100.0,100.0,178.0,3.477167550130179,13.79742516603605
Item ID,70051.0,244235301388.65143,4255107298988.666,10014467.0,26922227.0,44945143.0,77431062.0,84222100000000.0,19.200206439928284,374.25445853619823
Buyer ID,70051.0,601317661888.3276,6223244776314.538,1000661.0,3295585.0,5566107.0,7815352.0,99774100000000.0,11.544053560349521,140.63285534499587
Transaction ID,70051.0,55060350773008.234,25876369225990.473,10006600000000.0,32703200000000.0,55222100000000.0,77368700000000.0,99995500000000.0,-0.006157557889326021,-1.1894473121725564
Final Quantity,70051.0,0.7011748583175115,0.7395012817710656,-3.0,1.0,1.0,1.0,6.0,-1.8095965284237214,1.8936277968792248
Total Revenue,70051.0,61.77605358952763,31.800847704689073,0.0,51.67,74.17,79.17,445.0,-0.5760779593733479,1.3890753157748104
Price Reductions,70051.0,-4.949676949650969,7.7697950989671485,-200.0,-8.34,0.0,0.0,0.0,-2.3194147427549043,21.168838889588738
Refunds,70051.0,-10.24619677092404,25.154827186618327,-237.5,0.0,0.0,0.0,0.0,-2.3251315069598895,4.585626025218128
Final Revenue,70051.0,46.58017986895262,51.80304077633859,-237.5,47.08,63.33,74.17,445.0,-1.4945192679761197,1.6140081835316944
Sales Tax,70051.0,9.12360009136201,10.305305490121318,-47.5,8.370000000000001,12.66,14.84,63.34,-1.4773556636912328,1.4440310520457627
Overall Revenue,70051.0,55.703778390030116,61.92097551987061,-285.0,56.224999999999994,76.0,89.0,445.0,-1.5111742855668795,1.5826026531264783
Refunded Item Count,70051.0,-0.15610055530970293,0.3691926571546459,-3.0,0.0,0.0,0.0,0.0,-2.044042378760881,2.783635404037908
Purchased Item Count,70051.0,0.8572754136272145,0.380822199009346,0.0,1.0,1.0,1.0,6.0,-1.2537885877798394,3.3847270337522946
