,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
Region,0.0,,,,,,,,,
Country,0.0,,,,,,,,,
Item Type,0.0,,,,,,,,,
Sales Channel,0.0,,,,,,,,,
Order Priority,0.0,,,,,,,,,
Order ID,100.0,555020412.36,260615257.131426,114606559.0,338922488.0,557708561.0,790755080.75,994022214.0,-0.09835435228012147,-1.2032056758081886
Units Sold,100.0,5128.71,2794.4845616956904,124.0,2836.25,5382.5,7369.0,9925.0,-0.0999527123530475,-1.070527508856555
Unit Price,100.0,276.7613,235.59224058433134,9.33,81.73,179.88,437.2,668.27,0.6207513574619163,-1.1523685445712895
Unit Cost,100.0,191.048,188.2081812485549,6.92,35.84,107.275,263.33,524.96,0.8580721284155021,-0.8300988574544923
Total Revenue,100.0,1373487.6831,1460028.7068235008,4870.26,268721.2125,752314.36,2212044.6825,5997054.98,1.2776978228408213,0.8045392122060888
Total Cost,100.0,931805.6991000001,1083938.2521883622,3612.24,168868.0275,363566.385,1613869.7175,4509793.96,1.4605118433178905,1.529171120169869
Total Profit,100.0,441681.98399999994,438537.90705963754,1258.02,121443.58499999999,290767.995,635828.8,1719922.04,1.2385550378398305,0.7673981570206481
