,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
ID,10999.0,5500.0,3175.282139695096,1.0,2750.5,5500.0,8249.5,10999.0,0.0,-1.2000000000000002
Warehouse_block,0.0,,,,,,,,,
Mode_of_Shipment,0.0,,,,,,,,,
Customer_care_calls,10999.0,4.054459496317847,1.141489647105304,2.0,3.0,4.0,5.0,7.0,0.3919257752012462,-0.3089949555233926
Customer_rating,10999.0,2.9905445949631786,1.4136031713232975,1.0,2.0,3.0,4.0,5.0,0.004359599069173193,-1.295653979971288
Cost_of_the_Product,10999.0,210.19683607600692,48.06327175153259,96.0,169.0,214.0,251.0,310.0,-0.15711711926913638,-0.972160289127924
Prior_purchases,10999.0,3.5675970542776616,1.5228600423832286,2.0,3.0,3.0,4.0,10.0,1.6818973153494554,4.006342295841064
Product_importance,0.0,,,,,,,,,
Gender,0.0,,,,,,,,,
Discount_offered,10999.0,13.37321574688608,16.205527080640096,1.0,4.0,7.0,10.0,65.0,1.7989291087435189,2.0005855546662454
Weight_in_gms,10999.0,3634.016728793527,1635.3772514018872,1001.0,1839.5,4149.0,5050.0,7846.0,-0.2497467569788316,-1.4476706240690818
Reached.on.Time_Y.N,10999.0,0.5966906082371125,0.4905841493710291,0.0,0.0,1.0,1.0,1.0,-0.3942573084253653,-1.8448966740814583
