Item Name,Category,Version,Item Code,Item ID,Buyer ID,Transaction ID,Date,Final Quantity,Total Revenue,Price Reductions,Refunds,Final Revenue,Sales Tax,Overall Revenue,Refunded Item Count,Purchased Item Count
QID,Product H,32 / B / 30,27-0CD-F44-7E1-0-2F608D7,46567054,3301861,5.36356E+13,14/04/2019,1,74.17,0,0,74.17,14.83,89,0,1
OTH,Product P,32 / B / FtO,37-9D1-AC6-D48-E-F2D4507,16345004,1205940,4.75918E+13,14/02/2019,-1,0,0,-79.17,-79.17,-15.83,-95,-1,0
WHX,Product P,32 / B / FtO,85-2EB-163-D62-5-FC50316,26246865,3342830,9.21172E+13,28/11/2018,-1,0,0,-74.17,-74.17,-14.83,-89,-1,0
RJF,Product P,33 / B / FtO,3D-687-99C-14F-4-661E2E7,42015157,7251983,5.98773E+13,3/3/2019,1,79.17,0,0,79.17,15.83,95,0,1
TSH,Product D,34 / B / FtO,F9-9FA-787-104-B-DCEE379,40522014,9940388,3.65824E+13,26/11/2018,1,74.17,0,0,74.17,14.83,89,0,1
BKT,Product Q,37 / B / 28,92-F5E-879-C1C-4-447E57D,32047144,9139641,2.95612E+13,2/1/2019,1,36.67,0,0,36.67,7.33,44,0,1
TSH,Product P,34 / B / FtO,30-612-F8B-3F0-D-1399050,40522014,3621461,1.19281E+13,26/12/2018,1,55,0,0,55,11,66,0,1
LQS,Product C,36 / B / FtO,D7-036-7E7-B2D-F-9ABDCB2,26922227,4238393,7.21708E+13,14/12/2018,1,82.5,0,0,82.5,16.5,99,0,1
WHX,Product A,34 / A / FtO,BB-624-2EC-849-6-55C3AE9,70509397,5467593,6.6417E+13,20/03/2019,-1,0,0,-107.5,-107.5,-21.5,-129,-1,0
WHX,Product P,33 / A / FtO,30-A45-0F8-A47-3-597F220,30466884,6927154,1.226E+13,15/02/2019,1,79.17,0,0,79.17,15.83,95,0,1
LQS,Product B,33 / B / FtO,2D-BCB-5A1-DCF-B-1BC3355,24064862,3278460,3.99956E+13,25/11/2018,1,82.5,-16.5,0,66,13.2,79.2,0,1
KNB,Product P,35 / A / FtO,5B-AA9-538-913-2-C7F19F8,82629421,9164098,3.48326E+13,18/02/2019,1,79.18,-15.84,0,63.34,12.66,76,0,1
WHX,Product P,36 / C / FtO,ED-3C3-9DE-8F8-8-E2127BD,10812154,7787287,7.64845E+13,10/2/2019,1,79.17,0,0,79.17,15.83,95,0,1
AYN,Product P,35 / A / FtO,05-B3F-641-5D0-C-08DA2E3,13282993,6386377,5.05483E+13,2/1/2019,1,55,0,0,55,11,66,0,1
